,image_type,timestamp
0,1,1583258269.925179
1,0,1583258270.649373
2,0,1583258271.48914
3,1,1583258272.39004
4,1,1583258273.169645
5,1,1583258273.950876
6,0,1583258274.730237
7,1,1583258275.631295
8,0,1583258276.351903
9,1,1583258277.131993
10,1,1583258277.912565
11,1,1583258278.632546
12,1,1583258279.352259
13,1,1583258280.252837
14,0,1583258280.973334
15,0,1583258281.873706
16,0,1583258282.773785
17,1,1583258283.494337
18,0,1583258284.334533
19,0,1583258285.17471
20,0,1583258285.956035
21,1,1583258286.675354
22,0,1583258287.455578
23,1,1583258288.176282
24,1,1583258289.016908
25,1,1583258289.857014
26,1,1583258290.577674
27,0,1583258291.35709
28,1,1583258292.258089
29,1,1583258292.978009
30,1,1583258293.818759
31,1,1583258294.658549
32,0,1583258295.500007
33,1,1583258296.339682
34,1,1583258297.179513
35,1,1583258297.960084
36,1,1583258298.800543
37,0,1583258299.641234
38,0,1583258300.42069
39,0,1583258301.320621
40,1,1583258302.041722
41,0,1583258302.821185
42,1,1583258303.662044
43,0,1583258304.562684
44,1,1583258305.46278
45,1,1583258306.303603
46,0,1583258307.082805
47,0,1583258307.923442
48,1,1583258308.763404
49,1,1583258309.604429
50,1,1583258310.383966
51,1,1583258311.10455
52,1,1583258312.004793
53,0,1583258312.724602
54,1,1583258313.625138
55,1,1583258314.52517
56,0,1583258315.366687
57,0,1583258316.08581
58,0,1583258316.865729
59,0,1583258317.767164
60,0,1583258318.486258
61,1,1583258319.387367
62,0,1583258320.107971
63,1,1583258320.887305
64,1,1583258321.668645
65,1,1583258322.387876
66,0,1583258323.229364
67,0,1583258324.008752
68,0,1583258324.728559
69,0,1583258325.569094
70,1,1583258326.289156
71,1,1583258327.009207
72,0,1583258327.850147
73,0,1583258328.74994
74,0,0.0
75,0,0.0
76,1,0.0
77,0,0.0
78,0,0.0
79,1,0.0
80,1,0.0
81,1,0.0
82,1,0.0
83,1,0.0
84,0,0.0
85,0,0.0
86,1,0.0
87,1,0.0
88,0,0.0
89,1,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,1,0.0
94,0,0.0
95,1,0.0
96,1,0.0
97,1,0.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,1,0.0
103,0,0.0
104,0,0.0
105,0,0.0
106,1,0.0
107,0,0.0
108,1,0.0
109,1,0.0
110,1,0.0
111,0,0.0
112,1,0.0
113,1,0.0
114,1,0.0
115,0,0.0
116,1,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,1,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,0,0.0
125,0,0.0
126,1,0.0
127,1,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,0,0.0
133,0,0.0
134,0,0.0
135,0,0.0
136,0,0.0
137,0,0.0
138,1,0.0
139,0,0.0
140,0,0.0
141,1,0.0
142,1,0.0
143,0,0.0
144,0,0.0
145,0,0.0
146,0,0.0
147,0,0.0
148,0,0.0
149,0,0.0
150,0,0.0
151,1,0.0
152,1,0.0
153,1,0.0
154,1,0.0
155,0,0.0
156,1,0.0
157,0,0.0
158,0,0.0
159,1,0.0
160,1,0.0
161,0,0.0
162,1,0.0
163,0,0.0
164,0,0.0
165,1,0.0
166,0,0.0
167,1,0.0
168,1,0.0
169,1,0.0
170,1,0.0
171,1,0.0
172,0,0.0
173,0,0.0
174,1,0.0
175,1,0.0
176,0,0.0
177,0,0.0
178,1,0.0
179,0,0.0
180,0,0.0
181,1,0.0
182,1,0.0
183,0,0.0
184,1,0.0
185,0,0.0
186,1,0.0
187,1,0.0
188,1,0.0
189,0,0.0
190,0,0.0
191,0,0.0
192,1,0.0
193,1,0.0
194,0,0.0
195,1,0.0
196,1,0.0
197,0,0.0
198,0,0.0
199,0,0.0
200,1,0.0
201,1,0.0
202,1,0.0
203,0,0.0
204,1,0.0
205,0,0.0
206,0,0.0
207,1,0.0
208,1,0.0
209,0,0.0
210,0,0.0
211,1,0.0
212,1,0.0
213,1,0.0
214,1,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,1,0.0
219,0,0.0
220,1,0.0
221,1,0.0
222,1,0.0
223,0,0.0
224,0,0.0
225,1,0.0
226,0,0.0
227,0,0.0
228,1,0.0
229,0,0.0
230,0,0.0
231,0,0.0
232,0,0.0
233,1,0.0
234,1,0.0
235,1,0.0
236,0,0.0
237,1,0.0
238,0,0.0
