,image_type,timestamp
0,0,1583258059.703183
1,0,1583258060.603215
2,1,1583258061.504122
3,0,1583258062.224065
4,0,1583258063.004015
5,0,1583258063.844485
6,1,1583258064.564268
7,1,1583258065.405072
8,0,1583258066.245221
9,1,1583258067.085284
10,0,1583258067.866744
11,0,1583258068.765633
12,0,1583258069.60727
13,0,1583258070.446925
14,0,1583258071.107208
15,1,1583258071.827394
16,0,1583258072.667863
17,0,1583258073.387972
18,0,1583258074.108637
19,0,1583258075.008079
20,1,1583258075.848767
21,1,1583258076.56836
22,1,1583258077.409116
23,0,1583258078.309506
24,1,1583258079.029025
25,1,1583258079.810349
26,1,1583258080.589214
27,1,1583258081.371161
28,1,1583258082.210939
29,1,1583258083.050581
30,0,1583258083.890754
31,1,1583258084.730407
32,0,1583258085.631429
33,0,1583258086.351419
34,0,1583258087.131796
35,0,1583258087.852306
36,1,1583258088.692161
37,1,1583258089.413143
38,1,1583258090.192566
39,1,1583258090.972525
40,0,1583258091.813219
41,1,1583258092.653138
42,0,1583258093.373384
43,0,1583258094.154147
44,1,1583258094.87425
45,1,1583258095.774308
46,1,1583258096.494331
47,1,1583258097.335149
48,0,1583258098.174913
49,1,1583258099.014957
50,1,1583258099.73541
51,1,1583258100.515928
52,0,1583258101.235965
53,1,1583258102.015957
54,0,1583258102.855793
55,1,1583258103.636372
56,1,1583258104.356867
57,0,1583258105.137286
58,0,1583258105.976902
59,1,1583258106.817644
60,0,1583258107.658244
61,1,1583258108.43766
62,1,1583258109.27784
63,1,1583258110.177949
64,0,1583258111.018658
65,1,1583258111.859164
66,0,1583258112.638536
67,1,1583258113.479403
68,1,1583258114.199265
69,1,1583258115.100333
70,0,1583258115.879729
71,1,1583258116.720307
72,0,1583258117.621361
73,1,1583258118.340508
74,0,1583258119.181162
75,1,0.0
76,1,0.0
77,1,0.0
78,0,0.0
79,1,0.0
80,1,0.0
81,0,0.0
82,1,0.0
83,0,0.0
84,1,0.0
85,1,0.0
86,1,0.0
87,0,0.0
88,1,0.0
89,1,0.0
90,1,0.0
91,1,0.0
92,0,0.0
93,1,0.0
94,1,0.0
95,0,0.0
96,1,0.0
97,0,0.0
98,1,0.0
99,0,0.0
100,0,0.0
101,1,0.0
102,0,0.0
103,0,0.0
104,1,0.0
105,0,0.0
106,1,0.0
107,0,0.0
108,1,0.0
109,0,0.0
110,1,0.0
111,1,0.0
112,0,0.0
113,1,0.0
114,1,0.0
115,0,0.0
116,1,0.0
117,0,0.0
118,0,0.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,0.0
123,0,0.0
124,1,0.0
125,0,0.0
126,0,0.0
127,0,0.0
128,1,0.0
129,1,0.0
130,1,0.0
131,0,0.0
132,1,0.0
133,1,0.0
134,1,0.0
135,1,0.0
136,0,0.0
137,1,0.0
138,1,0.0
